Neighborhood,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more"
Mount Washington,27.0,9.0,9.0,26.0,13.0,63.0,45.0,130.0,256.0,161.0,184.0,142.0,83.0,118.0,98.0,114.0,84.0,112.0,14.0,47.0,20.0,30.0,20.0,0.0,0.0,23.0
New Homestead,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,32.0,32.0,18.0,103.0,62.0,11.0,4.0,43.0,10.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
North Oakland,17.0,0.0,5.0,0.0,9.0,14.0,0.0,0.0,26.0,69.0,18.0,55.0,36.0,124.0,47.0,94.0,53.0,79.0,47.0,23.0,100.0,41.0,16.0,0.0,0.0,0.0
Oakwood,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,3.0,21.0,36.0,32.0,42.0,24.0,15.0,8.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overbrook,3.0,0.0,0.0,4.0,13.0,29.0,19.0,78.0,113.0,250.0,169.0,177.0,134.0,163.0,73.0,17.0,7.0,15.0,6.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0
Perry North,18.0,5.0,19.0,7.0,13.0,14.0,11.0,55.0,57.0,116.0,159.0,82.0,76.0,151.0,102.0,62.0,40.0,54.0,8.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0
Perry South,19.0,33.0,21.0,8.0,53.0,54.0,14.0,67.0,100.0,120.0,109.0,56.0,64.0,16.0,4.0,26.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Point Breeze,14.0,0.0,0.0,15.0,0.0,5.0,0.0,15.0,0.0,15.0,16.0,4.0,17.0,52.0,35.0,73.0,80.0,217.0,250.0,318.0,246.0,168.0,71.0,8.0,4.0,0.0
Point Breeze North,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,7.0,14.0,0.0,28.0,45.0,20.0,34.0,49.0,50.0,59.0,0.0,13.0,0.0,0.0,0.0,0.0
Polish Hill,0.0,0.0,5.0,17.0,9.0,12.0,10.0,40.0,20.0,32.0,30.0,4.0,20.0,26.0,27.0,23.0,39.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regent Square,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,13.0,24.0,6.0,86.0,67.0,72.0,35.0,13.0,0.0,0.0,6.0,0.0
Shadyside,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,0.0,15.0,11.0,19.0,214.0,86.0,58.0,95.0,244.0,268.0,332.0,163.0,243.0,111.0,36.0,17.0,0.0
Sheraden,6.0,5.0,51.0,60.0,88.0,131.0,71.0,148.0,218.0,103.0,132.0,57.0,74.0,68.0,74.0,5.0,8.0,39.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0
South Oakland,0.0,0.0,21.0,0.0,15.0,22.0,0.0,7.0,40.0,27.0,44.0,73.0,0.0,70.0,63.0,20.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
